program	transformation	lhs	rhs	text
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Dot""), 1))), Concat(ConstStr("". ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1)))))"	"""Mullins, Craig S.""->Craig S. Mullins"	"""Mullins, Craig S."""	Craig S. Mullins	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Dot""), 1))), Concat(ConstStr("". ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1)))))] [Transformation: ""Mullins, Craig S."" transforms to Craig S. Mullins]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Dot""), 1))), ConstStr("".\"""")))))"	"Craig S. Mullins->""Mullins, Craig S."""	Craig S. Mullins	"""Mullins, Craig S."""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Dot""), 1))), ConstStr("".\"""")))))] [Transformation: Craig S. Mullins transforms to ""Mullins, Craig S.""]"
"let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1))))"	Real 802.11 Security: Wi-Fi Protected Access and 802.11i->REAL 802.11 SECURITY	Real 802.11 Security: Wi-Fi Protected Access and 802.11i	REAL 802.11 SECURITY	"[Program: let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1))))] [Transformation: Real 802.11 Security: Wi-Fi Protected Access and 802.11i transforms to REAL 802.11 SECURITY]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(x), Concat(ConstStr("": Wi-Fi Protected ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Upper Caseâ—¦Upper Case"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Upper Caseâ—¦WhiteSpace""), 1))), Concat(ConstStr(""ccess and ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Number""), 1), RegexPositionRelative(x, RegexPair(""Number"", ""Îµ""), 1))), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToLowercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Upper Caseâ—¦Upper Caseâ—¦Upper Case""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Upper Caseâ—¦Upper Case""), -1)))))))))"	REAL 802.11 SECURITY->Real 802.11 Security: Wi-Fi Protected Access and 802.11i	REAL 802.11 SECURITY	Real 802.11 Security: Wi-Fi Protected Access and 802.11i	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(x), Concat(ConstStr("": Wi-Fi Protected ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Upper Caseâ—¦Upper Case"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Upper Caseâ—¦WhiteSpace""), 1))), Concat(ConstStr(""ccess and ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Number""), 1), RegexPositionRelative(x, RegexPair(""Number"", ""Îµ""), 1))), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToLowercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Upper Caseâ—¦Upper Caseâ—¦Upper Case""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Upper Caseâ—¦Upper Case""), -1)))))))))] [Transformation: REAL 802.11 SECURITY transforms to Real 802.11 Security: Wi-Fi Protected Access and 802.11i]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), 1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), ConstStr(""\"""")))))"	"""Jon Edney, William A. Arbaugh""->""Edney, Jon"""	"""Jon Edney, William A. Arbaugh"""	"""Edney, Jon"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), 1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), ConstStr(""\"""")))))] [Transformation: ""Jon Edney, William A. Arbaugh"" transforms to ""Edney, Jon""]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("" ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), ConstStr("", William A. Arbaugh\"""")))))"	"""Edney, Jon""->""Jon Edney, William A. Arbaugh"""	"""Edney, Jon"""	"""Jon Edney, William A. Arbaugh"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("" ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), ConstStr("", William A. Arbaugh\"""")))))] [Transformation: ""Edney, Jon"" transforms to ""Jon Edney, William A. Arbaugh""]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(x), Concat(ConstStr(""-W/""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""ALL CAPS""), -1), RegexPositionRelative(x, RegexPair(""ALL CAPS"", ""Îµ""), -1))))))"	C++ By Dissection->C++ BY DISSECTION-W/CD	C++ By Dissection	C++ BY DISSECTION-W/CD	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(x), Concat(ConstStr(""-W/""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""ALL CAPS""), -1), RegexPositionRelative(x, RegexPair(""ALL CAPS"", ""Îµ""), -1))))))] [Transformation: C++ By Dissection transforms to C++ BY DISSECTION-W/CD]"
"let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Hyphen""), 1))))"	C++ BY DISSECTION-W/CD->C++ By Dissection	C++ BY DISSECTION-W/CD	C++ By Dissection	"[Program: let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Hyphen""), 1))))] [Transformation: C++ BY DISSECTION-W/CD transforms to C++ By Dissection]"
"let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))))"	Ira Pohl->POHL	Ira Pohl	POHL	"[Program: let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))))] [Transformation: Ira Pohl transforms to POHL]"
"Concat(ConstStr(""Ira ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(x))"	POHL->Ira Pohl	POHL	Ira Pohl	"[Program: Concat(ConstStr(""Ira ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(x))] [Transformation: POHL transforms to Ira Pohl]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Colonâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""',' or 'and'""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumericâ—¦WhiteSpace""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Double Quote""), -1))), ConstStr(""\"""")))))))"	"""Non-Photorealistic Computer Graphics: Modeling, Rendering and Animation""->""Non-Photorealistic Computer Graphics, Modeling, Rendering, and Animation"""	"""Non-Photorealistic Computer Graphics: Modeling, Rendering and Animation"""	"""Non-Photorealistic Computer Graphics, Modeling, Rendering, and Animation"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Colonâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""',' or 'and'""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumericâ—¦WhiteSpace""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Double Quote""), -1))), ConstStr(""\"""")))))))] [Transformation: ""Non-Photorealistic Computer Graphics: Modeling, Rendering and Animation"" transforms to ""Non-Photorealistic Computer Graphics, Modeling, Rendering, and Animation""]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), 1))), Concat(ConstStr("": ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""',' or 'and'"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), -1))), Concat(ConstStr("" ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Commaâ—¦WhiteSpace"", ""Îµ""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Double Quote""), -1))), ConstStr(""\"""")))))))"	"""Non-Photorealistic Computer Graphics, Modeling, Rendering, and Animation""->""Non-Photorealistic Computer Graphics: Modeling, Rendering and Animation"""	"""Non-Photorealistic Computer Graphics, Modeling, Rendering, and Animation"""	"""Non-Photorealistic Computer Graphics: Modeling, Rendering and Animation"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), 1))), Concat(ConstStr("": ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""',' or 'and'"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), -1))), Concat(ConstStr("" ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Commaâ—¦WhiteSpace"", ""Îµ""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Double Quote""), -1))), ConstStr(""\"""")))))))] [Transformation: ""Non-Photorealistic Computer Graphics, Modeling, Rendering, and Animation"" transforms to ""Non-Photorealistic Computer Graphics: Modeling, Rendering and Animation""]"
"Concat(ConstStr(""\""By (author) ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Semicolon""), 1))), Concat(ConstStr("" By (author) ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Semicolonâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Double Quote""), -1))), ConstStr(""\"""")))))"	"""Strothotte, Thomas; Schlechtweg, Stefan""->""By (author) Strothotte, Thomas By (author) Schlechtweg, Stefan"""	"""Strothotte, Thomas; Schlechtweg, Stefan"""	"""By (author) Strothotte, Thomas By (author) Schlechtweg, Stefan"""	"[Program: Concat(ConstStr(""\""By (author) ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Semicolon""), 1))), Concat(ConstStr("" By (author) ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Semicolonâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Double Quote""), -1))), ConstStr(""\"""")))))] [Transformation: ""Strothotte, Thomas; Schlechtweg, Stefan"" transforms to ""By (author) Strothotte, Thomas By (author) Schlechtweg, Stefan""]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Right Parenthesisâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""',' or 'and'â—¦Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr(""; ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Right Parenthesisâ—¦WhiteSpace"", ""Îµ""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Double Quote""), -1))), ConstStr(""\"""")))))"	"""By (author) Strothotte, Thomas By (author) Schlechtweg, Stefan""->""Strothotte, Thomas; Schlechtweg, Stefan"""	"""By (author) Strothotte, Thomas By (author) Schlechtweg, Stefan"""	"""Strothotte, Thomas; Schlechtweg, Stefan"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Right Parenthesisâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""',' or 'and'â—¦Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr(""; ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Right Parenthesisâ—¦WhiteSpace"", ""Îµ""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Double Quote""), -1))), ConstStr(""\"""")))))] [Transformation: ""By (author) Strothotte, Thomas By (author) Schlechtweg, Stefan"" transforms to ""Strothotte, Thomas; Schlechtweg, Stefan""]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""WhiteSpaceâ—¦Lowercase word"", ""Îµ""), 1))), Concat(ConstStr("" ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Left Parenthesis""), -1)))), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpace""), -1))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Left Parenthesis""), -1)))))))))"	Smart Client Deployment with ClickOnce(TM): Deploying Windows Forms Applications with ClickOnce(TM)->Smart Client Deployment with Clickonce: Deploying Windows Forms Applications with Clickonce	Smart Client Deployment with ClickOnce(TM): Deploying Windows Forms Applications with ClickOnce(TM)	Smart Client Deployment with Clickonce: Deploying Windows Forms Applications with Clickonce	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""WhiteSpaceâ—¦Lowercase word"", ""Îµ""), 1))), Concat(ConstStr("" ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Left Parenthesis""), -1)))), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpace""), -1))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Left Parenthesis""), -1)))))))))] [Transformation: Smart Client Deployment with ClickOnce(TM): Deploying Windows Forms Applications with ClickOnce(TM) transforms to Smart Client Deployment with Clickonce: Deploying Windows Forms Applications with Clickonce]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""WhiteSpaceâ—¦Lowercase word"", ""Îµ""), 1))), Concat(ConstStr("" ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), -1), RelativePosition(x, -5))), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RelativePosition(x, -5), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1)))), Concat(ConstStr(""(TM)""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1), RelativePosition(x, -5))), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RelativePosition(x, -5), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1)))), ConstStr(""(TM)""))))))))"	Smart Client Deployment with Clickonce: Deploying Windows Forms Applications with Clickonce->Smart Client Deployment with ClickOnce(TM): Deploying Windows Forms Applications with ClickOnce(TM)	Smart Client Deployment with Clickonce: Deploying Windows Forms Applications with Clickonce	Smart Client Deployment with ClickOnce(TM): Deploying Windows Forms Applications with ClickOnce(TM)	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""WhiteSpaceâ—¦Lowercase word"", ""Îµ""), 1))), Concat(ConstStr("" ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), -1), RelativePosition(x, -5))), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RelativePosition(x, -5), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1)))), Concat(ConstStr(""(TM)""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1), RelativePosition(x, -5))), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RelativePosition(x, -5), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1)))), ConstStr(""(TM)""))))))))] [Transformation: Smart Client Deployment with Clickonce: Deploying Windows Forms Applications with Clickonce transforms to Smart Client Deployment with ClickOnce(TM): Deploying Windows Forms Applications with ClickOnce(TM)]"
"Concat(ConstStr(""\""Mackenzie, Duncan; ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Double Quote""), -1))), ConstStr(""\"""")))"	"""Noyes, Brian""->""Mackenzie, Duncan; Noyes, Brian"""	"""Noyes, Brian"""	"""Mackenzie, Duncan; Noyes, Brian"""	"[Program: Concat(ConstStr(""\""Mackenzie, Duncan; ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Double Quote""), -1))), ConstStr(""\"""")))] [Transformation: ""Noyes, Brian"" transforms to ""Mackenzie, Duncan; Noyes, Brian""]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Semicolonâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Double Quote""), -1))), ConstStr(""\"""")))"	"""Mackenzie, Duncan; Noyes, Brian""->""Noyes, Brian"""	"""Mackenzie, Duncan; Noyes, Brian"""	"""Noyes, Brian"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Semicolonâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Double Quote""), -1))), ConstStr(""\"""")))] [Transformation: ""Mackenzie, Duncan; Noyes, Brian"" transforms to ""Noyes, Brian""]"
"let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpaceâ—¦Left Parenthesis""), 1)))"	Managing Gigabytes: Compressing and Indexing Documents and Images (The Morgan.->Managing Gigabytes: Compressing and Indexing Documents and Images	Managing Gigabytes: Compressing and Indexing Documents and Images (The Morgan.	Managing Gigabytes: Compressing and Indexing Documents and Images	"[Program: let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpaceâ—¦Left Parenthesis""), 1)))] [Transformation: Managing Gigabytes: Compressing and Indexing Documents and Images (The Morgan. transforms to Managing Gigabytes: Compressing and Indexing Documents and Images]"
